Latitude,Longitude,Date,Address,Zip
43.0650140644,-76.1226951659,2011-05-24T00:00:00Z,Teal Ave. & James St.,13206
43.0119568616,-76.1605984866,2011-05-18T00:00:00Z,Barns Ave & Palmer Ave.,13207
43.0406588584,-76.1612214345,2011-05-17T00:00:00Z,214 Slocum Ave.,13204
43.0317126373,-76.1623366958,2011-05-14T00:00:00Z,Sterling Ave. & Palmer Ave.,13207
43.0251732959,-76.1204873504,2011-05-11T00:00:00Z,200 Meadowbrook Dr.,13210
43.0251531384,-76.1205740927,2011-05-06T00:00:00Z,Meadowbrook Dr. & Buckingham Ave,13210
43.0239686204,-76.1557430709,2011-05-05T00:00:00Z,115 Rockland Ave.,13207
43.043960422,-76.1563832984,2011-05-03T00:00:00Z,103 McCormick Ave,13202
43.0590802086,-76.1978196908,2011-05-03T00:00:00Z,1211 Milton Ave.,13204
43.0477185441,-76.1125408532,2011-04-28T00:00:00Z,213 Croly St.,13224
43.0349060558,-76.1081190654,2011-04-25T00:00:00Z,Janet Dr. & Euclid Ave.,13224
43.0374385696,-76.1060328123,2011-04-23T00:00:00Z,Standish Dr. & Shirley Rd.,13224
43.0480907492,-76.1127259081,2011-04-22T00:00:00Z,200 Croly St.,13224
43.0620239317,-76.1222585781,2011-04-13T00:00:00Z,107 Mariposa St.,13206
43.0781155464,-76.1669524288,2011-04-13T00:00:00Z,Alliance Bank Stadium,13208
43.0190556448,-76.1308943446,2011-03-26T00:00:00Z,Jamesville Ave & Thurber St.,13210
43.0302993389,-76.1196843245,2011-03-24T00:00:00Z,504 Broad St.,13210
43.0587940875,-76.1030650459,2011-03-23T00:00:00Z,Nichols Ave. & Burnet Ave,13206
43.0598249542,-76.1509280459,2011-03-21T00:00:00Z,Ash St. & North Townsend St.,13208
43.0246685341,-76.1691970062,2011-03-17T00:00:00Z,East Hiawatha Blvd.,13207
43.0828487416,-76.1576015161,2011-03-17T00:00:00Z,Hiawatha Blvd. &  7th North St.,13208
43.0389872476,-76.0800757524,2011-03-17T00:00:00Z,3906 East Genesee St.,13214
43.0368669102,-76.1512879002,2011-03-17T00:00:00Z,1054 South Clinton St.,13202
43.0706910199,-76.1524081992,2011-03-14T00:00:00Z,1005 1st North St.,13208
43.0779368046,-76.1470265255,2011-03-10T00:00:00Z,1420 Court St.,13208
43.0447748686,-76.1581647284,2011-03-09T00:00:00Z,Fabius St. & West St.,13202
43.0354796527,-76.1647771186,2011-03-04T00:00:00Z,119 Delaware St.,13204
43.0353771804,-76.1369190822,2011-03-02T00:00:00Z,Forestry Dr./Joseph Illick Hall,13210
43.0271244798,-76.1725083198,2011-03-02T00:00:00Z,125 Robineau Rd.,13207
